itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum,브랜드
069500,1,KODEX 200,28390,5,-715,-2.46,28412.0,-7.9422,11126915,316767,47383,KODEX
371460,4,TIGER 차이나전기차SOLACTIVE,13765,5,-460,-3.23,13768.0,-21.0162,2955331,41072,32843,TIGER
423160,7,KODEX KOFR금리액티브(합성),100855,3,0,0.0,100862.0,0.5733,82955,8366,30222,KODEX
252670,3,KODEX 200선물인버스2X,3835,2,180,4.92,3857.0,15.4818,349835871,1331364,23432,KODEX
133690,4,TIGER 미국나스닥100,72225,5,-355,-0.49,72618.0,4.2771,191792,13805,21140,TIGER
122630,3,KODEX 레버리지,11955,5,-615,-4.89,11977.0,-16.6446,58974824,708491,20072,KODEX
102110,1,TIGER 200,28415,5,-715,-2.45,28429.0,-7.8515,1827427,52035,18740,TIGER
157450,6,TIGER 단기통안채,101330,2,5,0.0,101328.0,0.3764,2082044,210981,18614,TIGER
360750,4,TIGER 미국S&P500,13150,5,-65,-0.49,13194.0,4.6649,1257264,16478,18121,TIGER
292150,2,TIGER TOP10,9330,5,-240,-2.51,9323.0,-7.5452,410666,3835,16901,TIGER
214980,6,KODEX 단기채권PLUS,103975,2,5,0.0,104035.0,0.2023,41637,4330,15875,KODEX
102780,2,KODEX 삼성그룹,7830,5,-180,-2.25,7833.0,-4.0719,1254094,9808,15730,KODEX
357870,7,TIGER CD금리투자KIS(합성),51225,5,-5,-0.01,51229.0,0.5989,21088,1080,14164,TIGER
381170,4,TIGER 미국테크TOP10 INDXX,10580,5,-115,-1.08,10667.0,3.5835,712769,7527,14114,TIGER
381180,4,TIGER 미국필라델피아반도체나스닥,9200,5,-45,-0.49,9282.0,-1.3025,1132598,10412,13864,TIGER
153130,6,KODEX 단기채권,103630,3,0,0.0,103648.0,0.1982,897338,92979,12429,KODEX
273130,6,KODEX 종합채권(AA-이상)액티브,98145,2,75,0.08,98228.0,-2.8626,1965,191,12130,KODEX
278530,1,KODEX 200TR,9490,5,-215,-2.22,9482.0,-8.0531,3049260,28879,11844,KODEX
305720,2,KODEX 2차전지산업,17580,5,-740,-4.04,17605.0,-4.2843,2629110,47073,11656,KODEX
305540,2,TIGER 2차전지테마,16820,5,-830,-4.7,16848.0,-9.972,1528665,26263,11421,TIGER
310970,1,TIGER MSCI Korea TR,11640,5,-245,-2.06,11634.0,-8.1885,3689,42,10779,TIGER
148020,1,KBSTAR 200,28535,5,-695,-2.38,28542.0,-7.7657,170121,4885,9973,KBSTAR
114800,3,KODEX 인버스,5420,2,125,2.36,5438.0,8.2822,45240335,244425,9485,KODEX
233740,3,KODEX 코스닥150레버리지,6270,5,-450,-6.7,6277.0,-21.7695,47571498,304587,7775,KODEX
139260,2,TIGER 200 IT,24845,5,-795,-3.1,24918.0,-8.4286,135095,3373,6728,TIGER
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),10870,5,-150,-1.36,10872.0,0.3186,197650,2156,6226,TIGER
272580,6,TIGER 단기채권액티브,50730,5,-10,-0.02,50737.0,0.4354,6929,351,6128,TIGER
329750,6,TIGER 미국달러단기채권액티브,12350,2,165,1.35,12318.0,11.025,490811,6033,6065,TIGER
091180,2,KODEX 자동차,16825,5,-525,-3.03,16831.0,-2.1157,332689,5599,5695,KODEX
152100,1,ARIRANG 200,28890,5,-725,-2.45,28901.0,-7.8133,57342,1663,5634,ARIRANG
294400,1,KOSEF 200TR,34480,5,-855,-2.42,34475.0,-7.8618,383908,13213,5603,KOSEF
293180,1,HANARO 200,28460,5,-725,-2.48,28486.0,-7.9077,113756,3243,5535,HANARO
278540,1,KODEX MSCI Korea TR,9250,5,-235,-2.48,9265.0,-8.002,400524,3703,5476,KODEX
315930,2,KODEX Top5PlusTR,13825,5,-250,-1.78,13824.0,-8.3361,15778,217,5323,KODEX
196230,6,KBSTAR 단기통안채,105575,2,20,0.02,105570.0,0.2993,370549,39116,5211,KBSTAR
379800,4,KODEX 미국S&P500TR,11655,5,-45,-0.38,11676.0,4.9798,513280,5954,5093,KODEX
360200,4,KINDEX 미국S&P500,13280,5,-60,-0.45,13316.0,4.9072,129293,1708,5046,KINDEX
105190,1,KINDEX 200,28540,5,-685,-2.34,28543.0,-7.9093,422334,12034,4752,KINDEX
251350,4,KODEX 선진국MSCI World,19720,5,-55,-0.28,19744.0,1.9855,51044,1001,4674,KODEX
251340,3,KODEX 코스닥150선물인버스,5720,2,185,3.34,5730.0,9.2793,80824605,456889,4593,KODEX
