Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
060310,KOSDAQ,3S,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,김세완,http://www.3sref.com,서울특별시
095570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,"박대현, 손삼달",http://www.ajnet.co.kr,서울특별시
006840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시
054620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도
265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도
211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시
152100,KOSPI,ARIRANG 200,,,,,,,
295820,KOSPI,ARIRANG 200동일가중,,,,,,,
253150,KOSPI,ARIRANG 200선물레버리지,,,,,,,
253160,KOSPI,ARIRANG 200선물인버스2X,,,,,,,
395750,KOSPI,ARIRANG ESG가치주액티브,,,,,,,
395760,KOSPI,ARIRANG ESG성장주액티브,,,,,,,
278420,KOSPI,ARIRANG ESG우수기업,,,,,,,
429740,KOSPI,ARIRANG Fn K리츠,,,,,,,
436180,KOSPI,ARIRANG K-유니콘투자기업액티브,,,,,,,
292750,KOSPI,ARIRANG KRX300,,,,,,,
309210,KOSPI,ARIRANG KRX300헬스케어,,,,,,,
333940,KOSPI,ARIRANG KS로우볼가중TR,,,,,,,
333950,KOSPI,ARIRANG KS로우사이즈가중TR,,,,,,,
333960,KOSPI,ARIRANG KS모멘텀가중TR,,,,,,,
333970,KOSPI,ARIRANG KS밸류가중TR,,,,,,,
333980,KOSPI,ARIRANG KS퀄리티가중TR,,,,,,,
269530,KOSPI,ARIRANG S&P글로벌인프라,,,,,,,
433850,KOSPI,ARIRANG TDF2030액티브,,,,,,,
433860,KOSPI,ARIRANG TDF2040액티브,,,,,,,
433870,KOSPI,ARIRANG TDF2050액티브,,,,,,,
433880,KOSPI,ARIRANG TDF2060액티브,,,,,,,
421320,KOSPI,ARIRANG iSelect우주항공&UAM,,,,,,,
251590,KOSPI,ARIRANG 고배당저변동50,,,,,,,
161510,KOSPI,ARIRANG 고배당주,,,,,,,
251600,KOSPI,ARIRANG 고배당주채권혼합,,,,,,,
289670,KOSPI,ARIRANG 국채선물10년,,,,,,,
298340,KOSPI,ARIRANG 국채선물3년,,,,,,,
442580,KOSPI,ARIRANG 글로벌D램반도체iSelect,,,,,,,
189400,KOSPI,ARIRANG 글로벌MSCI(합성 H),,,,,,,
419650,KOSPI,ARIRANG 글로벌수소&차세대연료전지MV,,,,,,,
438210,KOSPI,ARIRANG 글로벌인공지능산업MV,,,,,,,
415920,KOSPI,ARIRANG 글로벌희토류전략자원기업MV,,,,,,,
278620,KOSPI,ARIRANG 단기채권액티브,,,,,,,
429760,KOSPI,ARIRANG 미국S&P500,,,,,,,
269540,KOSPI,ARIRANG 미국S&P500(H),,,,,,,
287180,KOSPI,ARIRANG 미국나스닥테크,,,,,,,
213630,KOSPI,ARIRANG 미국다우존스고배당주(합성 H),,,,,,,
332610,KOSPI,ARIRANG 미국단기우량회사채,,,,,,,
426410,KOSPI,ARIRANG 미국대체투자Top10MV,,,,,,,
332620,KOSPI,ARIRANG 미국장기우량회사채,,,,,,,
195970,KOSPI,ARIRANG 선진국MSCI(합성 H),,,,,,,
238670,KOSPI,ARIRANG 스마트베타Quality채권혼합,,,,,,,
195980,KOSPI,ARIRANG 신흥국MSCI(합성 H),,,,,,,
373530,KOSPI,ARIRANG 신흥국MSCI인버스(합성 H),,,,,,,
256450,KOSPI,ARIRANG 심천차이넥스트(합성),,,,,,,
239660,KOSPI,ARIRANG 우량회사채50 1년,,,,,,,
280920,KOSPI,ARIRANG 주도업종,,,,,,,
266550,KOSPI,ARIRANG 중형주저변동50,,,,,,,
301400,KOSPI,ARIRANG 코스닥150,,,,,,,
301410,KOSPI,ARIRANG 코스닥150선물인버스,,,,,,,
227830,KOSPI,ARIRANG 코스피,,,,,,,
122090,KOSPI,ARIRANG 코스피50,,,,,,,
328370,KOSPI,ARIRANG 코스피TR,,,,,,,
301440,KOSPI,ARIRANG 코스피중형주,,,,,,,
376250,KOSPI,ARIRANG 탄소효율그린뉴딜,,,,,,,
027410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시
282330,KOSPI,BGF리테일,종합 소매업,체인화 편의점,2017-12-08,12월,이건준,http://www.bgfretail.com,서울특별시
032790,KOSDAQ,BNGT,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기",1997-06-26,12월,조상환,http://www.mgenplus.com,서울특별시
138930,KOSPI,BNK금융지주,기타 금융업,금융지주회사,2011-03-30,12월,김지완,http://www.bnkfg.com,부산광역시
