번호,분류,제목,내용,내용번호
2304,경제,하반기 농부의 시장 일정은 어떻게 되나요?,"
 ○ 하반기 운영일정             구 분  일 정  9월  10월  11월    1  만리동광장  (1번째 화,수/ 4회)  -  4, 5  1, 2    2  마포구DMC (마포구 상암동 1705)  (2번째 화,수/ 6회)  13, 14  11, 12  8, 9    3  청계광장  (3번째 화,수/ 6회)  20, 21  18, 19  15, 16    4  신영증권  (4번째 화,수/ 6회)  27, 28  25, 26  22, 23    5  뚝섬 한강공원  (4번째 토,일/ 6회)  24, 25  29, 30  26, 27     ",26695536
2303,복지,다자녀가정 실내 바닥매트 지원,"
      업무개요   다자녀가정 아이들의 안전한 실내 활동과 층간소음 예방을 위해 실내 바닥매트 지원    지원대상   ○ 지원대상 : 서초구에 주민등록을 두고   거주중인 중학생 이하 세자녀이상 모든 가정    ※ 기지원가정 중복신청 불가   ○ 신청자격 : 대상 자녀들의 부, 모 또는 아이들과 거주하고   있는 세대의 세대주    신청시기   상시   신청방법   ○ 온라인 : 서초구청 홈페이지   - 경로 : 서초구청 홈페이지 > 분야별정보  복지   > 영유아복지 > 다자녀가정 실내 바닥매트 지원 신청 [바로가기]   ○ 방문 : 동주민센터, 구 여성보육과 방문     구비서류   대상 자녀들이 모두 등재되어 있는 주민등록등본    지원내용   실내 바닥매트 1개 지원(240x140x4)(cm)  ※ 신청 후 2주내 배송 예정     ",25670204
2302,경제,[서울산업진흥원] 서울메이드란?,"
 서울의 감성을 담은 다양하고 새로운 경험을 제공하기 위해 만들어진 라이프스타일 플랫폼 브랜드로 서울이 만들고 세계가 함께 쓰는 브랜드 입니다.    - 서울의 감성을 담은 기업과 협업하여 브랜드 상품을 발굴.   - 사용을 원하는 중소기업에게 서울메이드 브랜드 제공 등   -  관련홈페이지 : 서울메이드 (https://seoulmade.com/)  ※ 상세문의사항 : 서울산업진흥원 브랜드전략팀 02-2222-3764 ",23194045
2301,복지,마포 뇌병변장애인 비전센터,"
 ▣ 마포뇌병변장애인 비전센터 운영     구분  내용    목적   학령기 이후 갈 곳이 없는 중증 뇌병변 장애인의 교육,돌봄,건강 등 맞춤종합서비스 제공     대상자   만18세 이상 ~ 만65세 미만 중증,중복 뇌병변 장애인     이용시간   평일 09:00~18:00 (실 수업시간 10:00~16:00)     이용료   월 280,000원(식비 별도)  ※ 기초생활수급자 무료, 차상위계층 50% 감면(식비 별도)    지원내용   개별 특성 및 욕구를 기반으로 한 교육, 돌봄, 건강 등의 종합서비스     이용방법   이용자 모집 기간에 유선으로 예약 후 내방하여 접수     문의처   마포뇌병변장애인비전센터 02-702-5771 (마포구 신촌로 26길10, 우리마포복지관 2층)     기타사항   상세 문의는 마포뇌병변장애인비전센터로 문의       ",22477798
2300,복지,위드유 서울 직장 성희롱.성폭력 예방센터,"
    업무개요   직장 내 성희롱 지원체계 사각지대에 있는 서울 시민이 안전하고 성평등하게 일할 수 있는 환경 조성  민관 협력을 통해 성희롱 예방 및 피해자 지원 체계 강화    업무설명   ▣ 서울 직장 성희롱.성폭력 예방센터(위드유)       구분  내     용    직장 내 성희롱 예방교육   ○ 30인 미만 소규모 사업장 내 성희롱 예방을 위한 맞춤형 교육 무료 지원  ○ 교육내용 : 성희롱의 개념과 원인 이해, 조직 내 성평등 문화 점검,                     성희롱 고충사건의 분쟁해결절차 안내  ○ 신청방법 : 신청서 작성 후 이메일접수(withu@seoulwithu.kr)    사업장 조직문화 컨설팅   ○ 30인 미만 소규모 사업장에 교육/법률 전문가를 무료 매칭하여 조직문화 진단 및 솔루션 제공  ○ 컨설팅내용 : 조직문화 진단, 내부 규정 개선방안 제시  ○ 신청방법 : 신청서 작성 후 이메일접수(withu@seoulwithu.kr)    피해지원 기반강화   ○ 직장 내 성희롱.성폭력 예방 및 피해지원기관과 연대하여 직장 내 성희롱 피해지원의 공백 분야      발굴, 지원  ○ 사업내용    - 기관 및 종사자 역량 강화 : 직장 내 성희롱.성폭력 피해자 법률.동행 지원,                                           성희롱 대응 역량 강화를 위한 워크숍, 사례연구회 지원,                                            직장 내 성희롱 피해지원 정책 발굴 및 협력사업   - 피해지원 기관 네트워크 협의회   - 직장 내 성희롱 정보화 사업     성평등 조직문화 확산   ○ 조직 내 성평등 문화 확산을 위해 사업장 조직문화 개선 및 대시민 홍보,캠페인 진행        관련 DB   여성폭력 상담(여성긴급전화, 아동ㆍ여성폭력피해자 통합지원센터, 폭력피해 이주여성)  [원스톱 지원센터] 성폭력(성폭행), 가정폭력, 성매매, 학교폭력 피해자 지원센터    주의사항/특이사항   ○ 센터위치 : 중구 무교로 21 더익스체인지서울빌딩 3층  ○ 문의처 : 위드유 서울직장성희롱성폭력예방센터 02-771-7770     관련법규   서울특별시 여성폭력방지와 피해자보호 및 지원에 관한 조례       ",21212235
2299,경제,"[성동구] 반려동물 ""무료상담실"" 운영 안내","
▣ 반려동물 무료상담실_""무엇이든 물어보시개?"" 운영 안내     구분  내용    사업기간    2020년 9월~12월     이용대상   성동구민 누구나(취약계층 우선 배정)    상담일정   매월 첫째, 셋째 금요일 10:00~12:00     이용방법   ○ 사전예약 : 전화 사전 예약 후 방문 상담  ○ 상담시간 : 1인당 15분 이내(약자 수에 따라 조정)    상담분야    반려동물 건강상태, 이상행동, 초기 행동교정 등   - 간단한 육아 진찰, 촉진 등으로 수의학적 부분의 문제해결 방향 제시, 대처방법, 병원 정밀검사 필요 여부,     기존에 잘못 알고 있던 내용 교정   ※ 취약계층 등록의무 대상(2개월령 이상 개)이 미등록된 경우 동물등록 지원    장소    구청 1층 전문상담실               ",21095911
2298,복지,서울시 [우리동네꼼꼼육아정보] 책자 발간,"
서울시와 서울시육아종합지원센터는 140여 명의 우리동네 보육반장이 직접 발로 뛰어 수집한 지역 육아정보를 담은 ‘우리동네 꼼꼼 육아정보’ 책자를 자치구마다 1종씩 총 25종 발간하였으며 ‘우리동네 꼼꼼 육아정보’ 책자에는 우리동네 보육반장 소개, 자치구 육아종합지원센터 소개, 생애주기별 육아정보, 대상별 육아정보, 우리동네 육아정보 등이 담겨 있다. 책자는 출생신고를 위해 동주민센터에 방문하는 출산부모에게 우선 전달 될 예정이며, 25개 자치구의 육아종합지원센터, 열린육아방, 공동육아나눔터 등 부모와 아이들이 자주 찾는 곳에 배포할 예정이다.     ※ 인터넷 다운로드 경로  - 서울시 e-book(http://ebook.seoul.go.kr/) 검색창에 ‘우리동네 보육반장’ 혹은 ‘우리동네 꼼꼼 육아정보’ 검색  - 서울시 우리동네 키움포털(http://icare.seoul.go.kr/) 영유아돌봄 〉우리동네보육반장 〉우리동네 꼼꼼 육아정보   ",18955676
2297,교통,"[종료사업] S-Taxi 앱 (에스택시, 서울택시승차앱) 시범운영","
							업무개요

 '빈차를 보고 택시를 이용' 하는 기본적인 기능을 오프라인에서 온라인까지 확대하는 개념을 적용한 앱 (앱에서 택시를 직접 선택)


운영기간

 2019년 6월 1일 (토) ~ 2019년 7월 5일 (금) ※ 시범운영 종료


앱 다운로드

 구글 플레이스토어 '서울택시승차앱' 다운받아 설치

 ※ 서울택시, 공공승차, 시민승차, 에스택시 등으로도 검색가능

 ※ 시범운영 기간 중 안드로이드 기반의 스마트폰만 이용 가능 


기타




구분

민간호출앱

서울택시승차앱(S-Taxi)


운영방식

택시운수종사자의 스마트폰

택시결제기


승차방식

목적지를 표출하여 

운전기사가 승객을 고름

시민이 택시를 부르는 방식




 ○ 택시운수종사자는 별도의 설치작업없이 택시결제기를 통해 이용동의만 거치면 서비스 이용 가능 

 ○ 서울택시승차앱은 전체 택시 대상으로 적용 가능

 ○ 관련 보도자료 [바로가기]						",17949033
2296,복지,장기요양 이동지원서비스(모두타 돌봄택시),"
     업무개요   보건복지부와 서울시택시운송사업조합의 민관협력사업으로 거동이 불편한 어르신도 병원 방문을 비롯한 외출권을  보장할 수 있도록 시범사업 시행   ※ 코로나19 지속과 운영자 지속 감소 사유로 21년 3월 31일부로 시범사업 종료 예정    업무내용       이용대상   실제 서울시에 거주하는 1~4등급 장기요양 수급자 중 시설급여를 이용하지 않은 재가급여수급자  ※ 휠체어 탑승 유무와 관계없이 이용 가능    이용시간   월~토 07:00~19:00 ※ 공휴일 이용 불가    이용요금   ○ 월 한도액 : 50,000원 (시범사업기간 동안 본인부담금 없음) 내에서 자유롭게 이용  ○ 중형택시 요금에 서비스요금(5,000원) 추가   ※ 중형택시 요금 : 기본요금 3,800원(2km), 거리당 요금 100원/132m     이용지역   서울시내에서만 이용 가능(시외운행 불가)    이용절차   이용신청(공단 방문) → 전용카드 발급 → 콜센터(1522-8150)를 통한 배차예약 → 차량이용  (결제 및 확인을 위한 전용카드 지참)    신청방법   ○ 서울시 소재 가까운 국민건강보험공단 노인장기요양보험 운영센터 방문신청만 가능    - 수급자 본인 신청 원칙, 신체상태 및 인지기능저하로 본인이 신청 할 수 없는 경우      가족.친족 대리 신청 가능   - 그 외 가족.친족이 없고 독거인 경우 이해관계인 신청 가능   ※ 신청불가 공단지사 : 영등포북부, 서초북부, 강남동부, 강남북부    구비서류   ① 장기요양 이동지원 이용신청서 ② 개인정보 수집.이용 및 제3자 제공 동의서 ③ 신분증        ※ 추가서류  ○ 가족관계를 확인할 수 없는 경우 : 가족관계증명서 제출   ○ 수급자 본인, 가족 및 친족 외에 신청하는 경우 : 이해관계인의 ‘위임장’ 제출         FAQ   ○ 전용카드의 월한도액은 월말에 소멸되어 이월 불가      월중 또는 월말에 카드를 발급받은 경우 발급 시점부터 말일까지 한도액 5만원 사용 가능  ○ 전용카드 잔액보다 이용금액이 더 많은 경우 초과되는 요금 전액 본인 부담    기타사항   ※ 시범사업 기간 : 2019.5.27~12.31  ▣ 문의에 따른 담당처 상이, 확인 후 안내 必  ○ 이용방법 : 국민건강보험공단 1577-1000 또는 모두타 돌봄택시 예약센터 1522-8150  ○ 예약관련 문의 : 모두타 돌봄택시 예약센터 1522-8150  ○ 제도 개선 등 : 국민건간보험공단 1577-1000  ○ 부당요금, 승차거부 등 여객자동차 운수사업법과 관련한 택시불편신고는 일반 택시와 동일하게 접수      ",17896364
2295,복지,아름다운청년 전태일기념관,"
							구분

내용


　

주소

 종로구 청계천로 105(관수동 152-1)


　

층별용도

 ○ 1층 : 전시품 수장고, 로비
 ○ 2층 : 공연장(60석)
 ○ 2층 : 전시실, 시민체험장
 ○ 4~6층 : 노동자권익지원시설 (노동 허브, 서울노동권익센터, 사무 및 휴게공간)


　

관람시간

 ○ 관람시간 : [3-10월] 10:00~18:00 / [11-2월] 10:00~17:30
  ※ 종료 30분 전 입장 완료
 ○ 휴관일 :  매주 월요일, 1월1일, 설/추석 당일 휴무 


　

관람료

 무료


　

프로그램

 ○ 상설전시 ""전태일의 꿈, 그리고""
 ○ 기획전시 ""모범업체 : 태일피복""
 ○ 이외 공연, 교육 등 아름다운청년 전태일기념관 홈페이지 참고 (https://www.taeil.org/)


　

기타사항

 ※ 3월 20일(수) 사전 개관 (19시 개관식 예정으로 당일 관람 불가)

 ※ 정식개관식 : 4월 30일(화) 11시 예정


　

문의처

 (재)전태일재단 02-318-0903						",17505766
